"English","Deutsch";
"Enter","Eingabe";
"OK","OK";
"Public Universes","Öffentliche Universen";
"Colony Defense","Kolonieverteidigung.";
"Private Universe","Privates Universum";
"Pair Mobile App","Pair Mobile App.";
"Debug Levels","Debug-Levels";
"Logout","Ausloggen";
"Next Update","Nächstes Update";
"Debug Menu","Debug-Menü.";
"PUBLIC UNIVERSE","ÖFFENTLICHES UNIVERSUM";
"PRIVATE UNIVERSE","PRIVATES UNIVERSUM";
"Avatar Inventory","Avatar-Inventar.";
"Universe:","Univers.:";
"Planet:","Planet:";
"Owner:","Besitzer:";
"Droids","Drohnen";
"Vehicles","Fahrzeuge";
"Current Base","Aktuelle Basis";
"Avatars","Avatare";
"Create New Avatar","Neuen Avatar erstellen.";
"US West","US West";
"Back","Zurück";
"Launch","Starten";
"Faction","Fraktion";
"U.N.E.","U.N.E.";
"Outlanders","Fremde";
"Scientist","Wissenschaftler";
"Science: 18","Wissenschaft: 18";
"Engineering: 7","Ingenieurwesen: 7";
"Combat: 5","Kampf: 5";
"Male","Männlich";
"Female","Weiblich";
"Ranger","Ranger";
"Combat: 10","Kampf: 10";
"Engineering: 10","Ingenieurwesen: 10";
"Science: 10","Wissenschaft: 10";
"Marine","Marine";
"Combat: 20","Kampf: 20";
"Engineering: 6","Ingenieurwesen: 6";
"Science: 4","Wissenschaft: 4";
"Engineer","Ingenieur";
"Combat: 8","Kampf: 8";
"Engineering: 16","Ingenieurwesen: 16";
"Science: 6","Wissenschaft: 6";
"SELECT YOUR CLASS","WÄHLEN SIE IHRE KLASSE";
"Starting Items","Gegenstände beim Start";
"Description","Beschreibung";
"Choose Colors","Farben auswählen";
"Primary","Primär";
"Secondary","Sekundär";
"Detail","Detail";
"Glow","Glühen";
"CUSTOMIZE FEATURES","Funktionen anpassen";
"Height","Höhe";
"Head","Kopf";
"Torso","Torso";
"Upper Arms","Oberarme";
"Forearms","Unterarme";
"Hands","Hände";
"Thighs","Oberschenkel";
"Calves","Waden";
"Feet","Füße";
"Random","Zufällig";
"Reset","Zurücksetzen";
"Assign Name","Name zuweisen";
"Type Name","Modellname";
"Create","Erstellen";
"Colors","Farben";
"Head / Shoulders","Kopf / Schultern";
"Mid","Mitte";
"Legs / Feet","Beine / Füße";
"Randomize","Zufällig";
"Head/Shoulders","Kopf / Schultern";
"Helmet","Helm";
"Shoulder pads","Schulterpolster";
"Body","Körper";
"Backpack","Rucksack";
"Gloves","Handschuhe";
"Legs/Feet","Beine / Füße";
"Legs","Beine";
"Knee pads","Knieschoner";
"Boots","Stiefel";
"Assign Stat Points","Stat-Punkte zuweisen";
"Speed","Geschwindigkeit";
"Health","Gesundheit";
"Strength","Stärke";
"Stamina","Ausdauer";
"Stat Points :","Stat-Punkte:";
"Assign Skill Points","Fähigkeitspunkte zuordnen";
"Clear","Löschen";
"Confirm","Bestätigen";
"Region","Region";
"Server Name","Servername";
"Rules","Regeln";
"Days Left","Tage übrig";
"Players In World","Spieler in der Welt.";
"Players In Universe","Spieler im Universum.";
"US East","US Ost.";
"Canada","Kanada";
"Asia","Asien";
"Europe","Europa";
"Australia","Australien";
